period,trajectory,value
0,334105114,72
1,334105114,72
2,334105114,97
3,334105114,171
4,334105114,316
5,334105114,542
6,334105114,849
7,334105114,1165
8,334105114,1508
9,334105114,1895
10,334105114,2302
11,334105114,2675
12,334105114,3009
13,334105114,3315
14,334105114,3600
15,334105114,3839
16,334105114,4062
17,334105114,4262
18,334105114,4466
19,334105114,4620
20,334105114,4759
21,334105114,4855
22,334105114,4911
23,334105114,4959
24,334105114,4989
25,334105114,5048
26,334105114,5071
27,334105114,5088
28,334105114,5090
29,334105114,5095
30,334105114,5085
31,334105114,5057
32,334105114,5041
33,334105114,5003
34,334105114,4971
35,334105114,4943
36,334105114,4919
37,334105114,4866
38,334105114,4821
39,334105114,4781
40,334105114,4710
41,334105114,4663
42,334105114,4600
43,334105114,4539
44,334105114,4476
45,334105114,4411
46,334105114,4342
47,334105114,4258
48,334105114,4176
49,334105114,4069
50,334105114,
