period,trajectory,value
0,334105114,60
1,334105114,9393
2,334105114,12689
3,334105114,15064
4,334105114,16775
5,334105114,17928
6,334105114,18799
7,334105114,19532
8,334105114,20175
9,334105114,20726
10,334105114,21234
11,334105114,21747
12,334105114,22273
13,334105114,22680
14,334105114,23165
15,334105114,23596
16,334105114,24250
17,334105114,24948
18,334105114,25636
19,334105114,26125
20,334105114,26723
21,334105114,27351
22,334105114,27959
23,334105114,28683
24,334105114,29490
25,334105114,30210
26,334105114,30862
27,334105114,31466
28,334105114,32089
29,334105114,32695
30,334105114,33278
31,334105114,33905
32,334105114,34719
33,334105114,35538
34,334105114,36249
35,334105114,37089
36,334105114,37886
37,334105114,38631
38,334105114,39428
39,334105114,40408
40,334105114,41252
41,334105114,42042
42,334105114,42886
43,334105114,43706
44,334105114,44583
45,334105114,45517
46,334105114,46367
47,334105114,47367
48,334105114,48381
49,334105114,49287
50,334105114,
