period,trajectory,value
0,334105114,31939
1,334105114,22646
2,334105114,20069
3,334105114,18312
4,334105114,17239
5,334105114,16624
6,334105114,16300
7,334105114,16051
8,334105114,15893
9,334105114,15869
10,334105114,15818
11,334105114,15838
12,334105114,15878
13,334105114,15980
14,334105114,16038
15,334105114,15993
16,334105114,15798
17,334105114,15639
18,334105114,15494
19,334105114,15442
20,334105114,15398
21,334105114,15265
22,334105114,15125
23,334105114,14956
24,334105114,14821
25,334105114,14764
26,334105114,14839
27,334105114,14925
28,334105114,14913
29,334105114,14950
30,334105114,15074
31,334105114,15059
32,334105114,14985
33,334105114,14954
34,334105114,14948
35,334105114,14786
36,334105114,14649
37,334105114,14581
38,334105114,14511
39,334105114,14367
40,334105114,14290
41,334105114,14385
42,334105114,14367
43,334105114,14363
44,334105114,14352
45,334105114,14296
46,334105114,14245
47,334105114,13987
48,334105114,13793
49,334105114,13841
50,334105114,
